shared name	FOLDCHANGE	PVALUE
AT1G01060 (REPRESSED:PCHX) AT5G07680	-0.9	1.4E-09
AT1G01470 (INDUCED:PCHX) AT5G07680	0.3	9.9E-02
AT1G01750 (REPRESSED:PCHX) AT5G07680	-0.5	8.7E-02
AT1G01760 (REPRESSED:PCHX) AT5G07680	-0.7	9.1E-03
AT1G01790 (REPRESSED:PCHX) AT5G07680	-0.5	1.0E-03
AT1G02080 (REPRESSED:PCHX) AT5G07680	-0.4	1.4E-02
AT1G02110 (REPRESSED:PCHX) AT5G07680	-0.3	9.6E-02
AT1G02670 (INDUCED:PCHX) AT5G07680	0.7	8.8E-03
AT1G02750 (INDUCED:PCHX) AT5G07680	0.3	9.4E-02
AT1G02780 (INDUCED:PCHX) AT5G07680	0.3	3.3E-02
AT1G02870 (INDUCED:PCHX) AT5G07680	0.6	1.7E-02
AT1G02900 (INDUCED:PCHX) AT5G07680	0.5	2.9E-02
AT1G03090 (REPRESSED:PCHX) AT5G07680	-0.4	1.7E-02
AT1G03110 (INDUCED:PCHX) AT5G07680	0.5	9.1E-02
AT1G03590 (REPRESSED:PCHX) AT5G07680	-0.3	8.7E-02
AT1G03730 (INDUCED:PCHX) AT5G07680	0.4	4.0E-02
AT1G04270 (INDUCED:PCHX) AT5G07680	0.5	2.6E-03
AT1G04480 (INDUCED:PCHX) AT5G07680	0.5	5.5E-03
AT1G05010 (INDUCED:PCHX) AT5G07680	0.3	4.2E-02
AT1G05060 (INDUCED:PCHX) AT5G07680	0.4	2.0E-02
AT1G05340 (INDUCED:PCHX) AT5G07680	0.3	3.2E-02
AT1G05570 (REPRESSED:PCHX) AT5G07680	-0.7	7.1E-06
AT1G05575 (INDUCED:PCHX) AT5G07680	0.5	3.5E-02
AT1G05630 (REPRESSED:PCHX) AT5G07680	-0.6	3.3E-02
AT1G05800 (INDUCED:PCHX) AT5G07680	0.5	1.7E-02
AT1G06520 (INDUCED:PCHX) AT5G07680	0.5	8.8E-03
AT1G07150 (INDUCED:PCHX) AT5G07680	0.8	2.9E-13
AT1G07650 (REPRESSED:PCHX) AT5G07680	-0.6	4.8E-03
AT1G07790 (INDUCED:PCHX) AT5G07680	0.5	2.7E-03
AT1G08190 (REPRESSED:PCHX) AT5G07680	-0.4	7.6E-04
AT1G08320 (INDUCED:PCHX) AT5G07680	0.5	7.7E-02
AT1G08360 (INDUCED:PCHX) AT5G07680	0.4	9.7E-02
AT1G08510 (INDUCED:PCHX) AT5G07680	0.4	5.3E-03
AT1G08730 (REPRESSED:PCHX) AT5G07680	-0.5	1.4E-03
AT1G08860 (INDUCED:PCHX) AT5G07680	0.6	2.6E-05
AT1G08880 (INDUCED:PCHX) AT5G07680	0.7	9.6E-07
AT1G09950 (INDUCED:PCHX) AT5G07680	0.5	1.0E-03
AT1G09970 (REPRESSED:PCHX) AT5G07680	-0.4	2.6E-03
AT1G10290 (REPRESSED:PCHX) AT5G07680	-0.3	5.6E-02
AT1G10570 (REPRESSED:PCHX) AT5G07680	-0.4	4.3E-02
AT1G10760 (REPRESSED:PCHX) AT5G07680	-0.4	3.9E-02
AT1G11670 (INDUCED:PCHX) AT5G07680	0.3	6.1E-02
AT1G12140 (REPRESSED:PCHX) AT5G07680	-0.4	3.7E-03
AT1G13310 (INDUCED:PCHX) AT5G07680	0.4	3.6E-02
AT1G13980 (REPRESSED:PCHX) AT5G07680	-0.5	1.1E-02
AT1G14060 (INDUCED:PCHX) AT5G07680	0.6	3.0E-02
AT1G14200 (INDUCED:PCHX) AT5G07680	0.3	7.3E-02
AT1G14240 (REPRESSED:PCHX) AT5G07680	-0.9	5.1E-04
AT1G14320 (INDUCED:PCHX) AT5G07680	0.5	1.6E-04
AT1G14460 (REPRESSED:PCHX) AT5G07680	-0.7	1.0E-02
AT1G14470 (INDUCED:PCHX) AT5G07680	0.4	7.9E-02
AT1G14670 (REPRESSED:PCHX) AT5G07680	-0.4	6.5E-02
AT1G14780 (INDUCED:PCHX) AT5G07680	0.4	6.2E-03
AT1G15230 (INDUCED:PCHX) AT5G07680	0.3	9.6E-02
AT1G15380 (INDUCED:PCHX) AT5G07680	0.3	6.7E-02
AT1G15550 (INDUCED:PCHX) AT5G07680	0.6	6.0E-02
AT1G15740 (REPRESSED:PCHX) AT5G07680	-0.3	9.8E-02
AT1G15780 (REPRESSED:PCHX) AT5G07680	-0.3	8.3E-02
AT1G15930 (INDUCED:PCHX) AT5G07680	0.6	1.9E-04
AT1G15990 (REPRESSED:PCHX) AT5G07680	-0.6	9.6E-03
AT1G16020 (REPRESSED:PCHX) AT5G07680	-0.4	6.2E-02
AT1G16710 (REPRESSED:PCHX) AT5G07680	-0.4	5.6E-02
AT1G17170 (INDUCED:PCHX) AT5G07680	0.5	1.4E-04
AT1G17180 (INDUCED:PCHX) AT5G07680	1.0	1.2E-08
AT1G17710 (INDUCED:PCHX) AT5G07680	0.6	1.0E-03
AT1G17880 (INDUCED:PCHX) AT5G07680	0.4	2.7E-02
AT1G18080 (INDUCED:PCHX) AT5G07680	0.3	7.1E-02
AT1G18270 (REPRESSED:PCHX) AT5G07680	-0.4	8.0E-04
AT1G18540 (INDUCED:PCHX) AT5G07680	0.4	3.4E-02
AT1G18690 (REPRESSED:PCHX) AT5G07680	-0.6	6.0E-02
AT1G18710 (REPRESSED:PCHX) AT5G07680	-0.5	1.7E-02
AT1G18800 (INDUCED:PCHX) AT5G07680	0.5	7.2E-03
AT1G18850 (INDUCED:PCHX) AT5G07680	0.4	8.4E-02
AT1G19020 (INDUCED:PCHX) AT5G07680	0.4	4.4E-03
AT1G19220 (REPRESSED:PCHX) AT5G07680	-0.3	4.0E-02
AT1G19780 (INDUCED:PCHX) AT5G07680	0.5	4.5E-02
AT1G19870 (REPRESSED:PCHX) AT5G07680	-0.4	1.7E-03
AT1G20100 (INDUCED:PCHX) AT5G07680	0.3	3.0E-02
AT1G20380 (REPRESSED:PCHX) AT5G07680	-0.6	4.8E-03
AT1G21630 (REPRESSED:PCHX) AT5G07680	-0.5	1.7E-03
AT1G21640 (REPRESSED:PCHX) AT5G07680	-0.4	2.9E-02
AT1G22530 (REPRESSED:PCHX) AT5G07680	-0.3	6.6E-02
AT1G22840 (INDUCED:PCHX) AT5G07680	0.4	1.5E-02
AT1G22860 (REPRESSED:PCHX) AT5G07680	-0.4	1.9E-02
AT1G22985 (INDUCED:PCHX) AT5G07680	0.5	3.4E-02
AT1G22990 (INDUCED:PCHX) AT5G07680	0.6	6.0E-02
AT1G23010 (REPRESSED:PCHX) AT5G07680	-0.5	7.0E-02
AT1G23280 (INDUCED:PCHX) AT5G07680	0.4	4.5E-02
AT1G23560 (INDUCED:PCHX) AT5G07680	0.7	3.5E-03
AT1G24190 (REPRESSED:PCHX) AT5G07680	-0.4	3.7E-02
AT1G24330 (REPRESSED:PCHX) AT5G07680	-0.3	5.4E-02
AT1G24440 (INDUCED:PCHX) AT5G07680	0.7	4.3E-03
AT1G24460 (REPRESSED:PCHX) AT5G07680	-0.3	9.6E-02
AT1G24610 (INDUCED:PCHX) AT5G07680	0.5	7.5E-02
AT1G24706 (REPRESSED:PCHX) AT5G07680	-0.3	4.7E-02
AT1G25260 (INDUCED:PCHX) AT5G07680	0.6	2.5E-03
AT1G26880 (INDUCED:PCHX) AT5G07680	0.5	4.1E-03
AT1G26920 (INDUCED:PCHX) AT5G07680	1.2	5.4E-11
AT1G27050 (INDUCED:PCHX) AT5G07680	0.6	3.7E-02
AT1G27320 (REPRESSED:PCHX) AT5G07680	-0.4	7.5E-03
AT1G27400 (INDUCED:PCHX) AT5G07680	0.6	1.8E-04
AT1G27461 (INDUCED:PCHX) AT5G07680	0.7	2.2E-02
AT1G27970 (INDUCED:PCHX) AT5G07680	0.5	3.8E-03
AT1G28375 (INDUCED:PCHX) AT5G07680	0.6	3.7E-02
AT1G28395 (INDUCED:PCHX) AT5G07680	0.5	9.1E-02
AT1G29250 (INDUCED:PCHX) AT5G07680	0.5	3.4E-02
AT1G29400 (INDUCED:PCHX) AT5G07680	0.3	1.3E-02
AT1G29470 (REPRESSED:PCHX) AT5G07680	-0.3	6.7E-02
AT1G30820 (REPRESSED:PCHX) AT5G07680	-0.5	3.3E-04
AT1G30880 (INDUCED:PCHX) AT5G07680	0.5	1.3E-02
AT1G31120 (REPRESSED:PCHX) AT5G07680	-0.3	7.0E-02
AT1G31420 (REPRESSED:PCHX) AT5G07680	-0.5	1.0E-02
AT1G32920 (INDUCED:PCHX) AT5G07680	0.3	6.7E-02
AT1G34030 (INDUCED:PCHX) AT5G07680	0.5	1.4E-02
AT1G35230 (INDUCED:PCHX) AT5G07680	0.6	2.6E-02
AT1G35910 (INDUCED:PCHX) AT5G07680	0.5	3.9E-03
AT1G36160 (REPRESSED:PCHX) AT5G07680	-0.5	2.4E-03
AT1G36370 (INDUCED:PCHX) AT5G07680	0.4	2.4E-02
AT1G37130 (INDUCED:PCHX) AT5G07680	0.3	5.2E-02
AT1G43170 (INDUCED:PCHX) AT5G07680	0.3	1.4E-02
AT1G43850 (REPRESSED:PCHX) AT5G07680	-0.5	1.2E-02
AT1G45130 (INDUCED:PCHX) AT5G07680	0.6	7.1E-03
AT1G45145 (INDUCED:PCHX) AT5G07680	0.4	4.1E-03
AT1G45160 (REPRESSED:PCHX) AT5G07680	-0.4	4.0E-02
AT1G47530 (REPRESSED:PCHX) AT5G07680	-0.4	9.6E-02
AT1G48090 (REPRESSED:PCHX) AT5G07680	-0.6	2.3E-03
AT1G48260 (INDUCED:PCHX) AT5G07680	0.7	6.4E-03
AT1G48410 (REPRESSED:PCHX) AT5G07680	-0.2	8.8E-02
AT1G48480 (REPRESSED:PCHX) AT5G07680	-0.4	5.3E-02
AT1G48630 (INDUCED:PCHX) AT5G07680	0.7	3.1E-04
AT1G48830 (INDUCED:PCHX) AT5G07680	0.4	2.5E-02
AT1G48920 (INDUCED:PCHX) AT5G07680	0.3	2.2E-02
AT1G49180 (REPRESSED:PCHX) AT5G07680	-0.5	6.9E-02
AT1G49520 (REPRESSED:PCHX) AT5G07680	-0.3	4.8E-02
AT1G49900 (INDUCED:PCHX) AT5G07680	0.5	3.0E-02
AT1G50030 (REPRESSED:PCHX) AT5G07680	-0.5	5.7E-04
AT1G50740 (INDUCED:PCHX) AT5G07680	0.3	1.0E-01
AT1G50920 (INDUCED:PCHX) AT5G07680	0.3	2.3E-02
AT1G51060 (INDUCED:PCHX) AT5G07680	0.7	1.3E-06
AT1G51915 (INDUCED:PCHX) AT5G07680	0.8	4.1E-03
AT1G52300 (INDUCED:PCHX) AT5G07680	0.5	5.0E-04
AT1G52360 (REPRESSED:PCHX) AT5G07680	-0.3	5.0E-02
AT1G52410 (REPRESSED:PCHX) AT5G07680	-0.7	4.6E-03
AT1G52930 (INDUCED:PCHX) AT5G07680	0.4	5.9E-02
AT1G53570 (REPRESSED:PCHX) AT5G07680	-0.3	4.4E-02
AT1G54560 (REPRESSED:PCHX) AT5G07680	-0.5	8.5E-02
AT1G54610 (REPRESSED:PCHX) AT5G07680	-0.4	6.8E-02
AT1G54690 (INDUCED:PCHX) AT5G07680	0.5	8.7E-02
AT1G55350 (REPRESSED:PCHX) AT5G07680	-0.6	3.7E-06
AT1G55360 (REPRESSED:PCHX) AT5G07680	-0.4	1.4E-02
AT1G55540 (REPRESSED:PCHX) AT5G07680	-0.4	8.0E-02
AT1G56050 (INDUCED:PCHX) AT5G07680	0.5	1.2E-02
AT1G56110 (INDUCED:PCHX) AT5G07680	0.3	6.3E-02
AT1G56200 (INDUCED:PCHX) AT5G07680	0.4	6.7E-02
AT1G56230 (REPRESSED:PCHX) AT5G07680	-0.4	2.4E-02
AT1G56350 (INDUCED:PCHX) AT5G07680	0.5	2.4E-02
AT1G57650 (INDUCED:PCHX) AT5G07680	0.5	4.5E-02
AT1G58230 (REPRESSED:PCHX) AT5G07680	-0.5	2.5E-02
AT1G59610 (REPRESSED:PCHX) AT5G07680	-0.3	6.6E-02
AT1G60070 (REPRESSED:PCHX) AT5G07680	-0.4	4.1E-02
