shared name	FOLDCHANGE	PVALUE
AT1G01040 (INDUCED:PCHX) AT2G22200	0.3	8.8E-02
AT1G01040 (INDUCED:PCHX) AT5G65210	0.3	5.5E-02
AT1G01050 (REPRESSED:PCHX) AT4G16141	-0.5	2.7E-02
AT1G01050 (REPRESSED:PCHX) AT5G65210	-0.6	9.8E-03
AT1G01060 (INDUCED:PCHX) AT2G22200	0.4	2.1E-02
AT1G01060 (REPRESSED:PCHX) AT2G33550	-0.3	8.5E-02
AT1G01060 (REPRESSED:PCHX) AT5G07680	-0.9	1.4E-09
AT1G01060 (REPRESSED:PCHX) AT5G10970	-0.7	5.0E-07
AT1G01060 (REPRESSED:PCHX) AT5G15830	-0.5	5.0E-03
AT1G01060 (INDUCED:PCHX) AT5G49450	0.3	3.4E-02
AT1G01060 (REPRESSED:PCHX) AT5G62430	-0.4	1.6E-02
AT1G01060 (INDUCED:PCHX) AT5G65210	0.5	7.1E-05
AT1G01070 (REPRESSED:PCHX) AT1G66140	-0.7	3.5E-02
AT1G01070 (REPRESSED:PCHX) AT1G68670	-0.6	3.9E-02
AT1G01070 (REPRESSED:PCHX) AT2G22200	-0.8	5.5E-02
AT1G01070 (REPRESSED:PCHX) AT3G49940	-0.6	4.2E-02
AT1G01070 (REPRESSED:PCHX) AT5G49450	-0.8	1.9E-02
AT1G01070 (REPRESSED:PCHX) AT5G62020	-1.4	8.4E-04
AT1G01070 (REPRESSED:PCHX) AT5G62430	-0.6	5.4E-02
AT1G01090 (REPRESSED:PCHX) AT1G25550	-0.4	8.2E-02
AT1G01090 (REPRESSED:PCHX) AT5G15830	-0.4	7.6E-02
AT1G01090 (REPRESSED:PCHX) AT5G49450	-0.6	3.3E-02
AT1G01090 (INDUCED:PCHX) AT5G62020	0.7	4.1E-03
AT1G01100 (REPRESSED:PCHX) AT3G17609	-0.4	6.6E-02
AT1G01100 (INDUCED:PCHX) AT4G27950	0.5	5.2E-03
AT1G01100 (INDUCED:PCHX) AT5G10970	0.6	5.8E-05
AT1G01100 (INDUCED:PCHX) AT5G15830	0.6	6.1E-04
AT1G01100 (REPRESSED:PCHX) AT5G65210	-0.3	5.5E-02
AT1G01130 (REPRESSED:PCHX) AT2G22200	-0.6	3.9E-02
AT1G01130 (REPRESSED:PCHX) AT3G16870	-0.6	5.3E-02
AT1G01130 (INDUCED:PCHX) AT5G10970	0.6	4.7E-03
AT1G01130 (REPRESSED:PCHX) AT5G65210	-0.7	1.5E-02
AT1G01140 (REPRESSED:PCHX) AT2G22200	-0.7	4.9E-08
AT1G01140 (REPRESSED:PCHX) AT3G16870	-0.7	3.0E-06
AT1G01140 (REPRESSED:PCHX) AT3G17609	-0.3	4.3E-02
AT1G01140 (REPRESSED:PCHX) AT3G49940	-0.4	3.4E-03
AT1G01140 (REPRESSED:PCHX) AT4G36540	-0.3	1.4E-02
AT1G01140 (REPRESSED:PCHX) AT4G39780	-0.5	8.1E-05
AT1G01140 (INDUCED:PCHX) AT5G10970	0.6	1.8E-05
AT1G01160 (INDUCED:PCHX) AT5G65210	0.4	1.2E-02
AT1G01190 (REPRESSED:PCHX) AT5G10970	-1.0	3.5E-02
AT1G01190 (INDUCED:PCHX) AT5G65210	2.0	8.3E-08
AT1G01240 (INDUCED:PCHX) AT4G39780	0.5	4.2E-02
AT1G01300 (INDUCED:PCHX) AT1G66140	0.4	2.3E-02
AT1G01300 (INDUCED:PCHX) AT2G22430	0.5	1.3E-04
AT1G01300 (REPRESSED:PCHX) AT3G16870	-0.5	5.2E-02
AT1G01300 (INDUCED:PCHX) AT4G16141	0.5	1.0E-03
AT1G01300 (INDUCED:PCHX) AT5G10970	0.6	1.4E-06
